"TC","matched_py","matched_manual","matched_webui","index"
"TC-CADMIN-1.3","","V","","UI-Semi-automated"
"TC-CADMIN-1.4","","V","","UI-Semi-automated"
"TC-ACE-1.1","","","V","UI-Automated"
"TC-ACE-1.6","","","V","UI-Automated"
"TC-ACT-2.1","","V","","UI-Manual"
"TC-BINFO-3.1","","V","","UI-Manual"
"TC-CADMIN-1.1","","V","","UI-Manual"
"TC-CADMIN-1.11","","V","","UI-Manual"
"TC-CADMIN-1.12","","V","","UI-Manual"
"TC-CADMIN-1.13","","V","","UI-Manual"
"TC-CADMIN-1.15","","V","","UI-Manual"
"TC-CADMIN-1.17","","V","","UI-Manual"
"TC-CADMIN-1.18","","V","","UI-Manual"
"TC-CADMIN-1.7","","V","","UI-Manual"
"TC-CADMIN-1.8","","V","","UI-Manual"
"TC-DESC-2.1","","V","","UI-Manual"
"TC-DGGEN-2.2","","V","","UI-Manual"
"TC-DGSW-2.1","","V","","UI-Manual"
"TC-DGSW-2.2","","V","","UI-Manual"
"TC-DGSW-2.3","","V","","UI-Manual"
"TC-DGWIFI-2.2","","V","","UI-Manual"
"TC-DISHALM-1.1","","V","","UI-Manual"
"TC-DISHALM-2.1","","V","","UI-Manual"
"TC-DISHM-1.2","","V","","UI-Manual"
"TC-DISHM-3.1","","V","","UI-Manual"
"TC-G-2.2","","V","","UI-Manual"
"TC-G-2.3","","V","","UI-Manual"
"TC-G-3.2","","V","","UI-Manual"
"TC-I-3.2","","V","","UI-Manual"
"TC-IDM-8.1","","V","","UI-Manual"
"TC-LWM-1.2","","V","","UI-Manual"
"TC-OPCREDS-3.4","","V","","UI-Manual"
"TC-OPCREDS-3.5","","V","","UI-Manual"
"TC-OPCREDS-3.6","","V","","UI-Manual"
"TC-PSCFG-2.2","","V","","UI-Manual"
"TC-SC-4.10","","V","","UI-Manual"
"TC-TCCM-1.2","","V","","UI-Manual"
"TC-TCCM-2.1","","V","","UI-Manual"
"TC-TSTAT-3.2","","V","","UI-Manual"
"TC-S-2.5","","V","","UI-Manual"
"TC-ACL-1.1","","","V","UI-Automated"
"TC-ACL-2.1","","","V","UI-Automated"
"TC-ACL-2.6","","","V","UI-Automated"
"TC-CGEN-1.1","","","V","UI-Automated"
"TC-CGEN-2.1","","","V","UI-Automated"
"TC-DESC-1.1","","","V","UI-Automated"
"TC-G-1.1","","","V","UI-Automated"
"TC-G-2.1","","","V","UI-Automated"
"TC-OPCREDS-1.2","","","V","UI-Automated"
"TC-OPCREDS-3.7","","","V","UI-Automated"
"TC-SC-5.1","","","V","UI-Automated"
"TC-ACT-3.2","","","","UI-Manual"
"TC-BR-1","","","","UI-Manual"
"TC-BR-2","","","","UI-Manual"
"TC-ACE-1.3","V","","","Python inside Docker"
"TC-ACE-1.5","V","","","Python inside Docker"
"TC-ACE-2.1","V","","","Python inside Docker"
"TC-ACE-2.2","V","","","Python inside Docker"
"TC-ACL-2.2","V","","","Python inside Docker"
"TC-CGEN-2.4","V","","","Python inside Docker"
"TC-CNET-4.4","V","","","Python inside Docker"
"TC-DA-1.2","V","","","Python inside Docker"
"TC-DA-1.5","V","","","Python inside Docker"
"TC-DESC-2.2","V","","","Python inside Docker"
"TC-DGGEN-2.4","V","","","Python inside Docker"
"TC-DT-1.1","V","","","Python inside Docker"
"TC-IDM-1.2","V","","","Python inside Docker"
"TC-IDM-1.4","V","","","Python inside Docker"
"TC-IDM-10.1","V","","","Python inside Docker"
"TC-IDM-10.3","V","","","Python inside Docker"
"TC-IDM-10.4","V","","","Python inside Docker"
"TC-IDM-11.1","V","","","Python inside Docker"
"TC-OPCREDS-3.1","V","","","Python inside Docker"
"TC-RR-1.1","V","","","Python inside Docker"
"TC-SC-3.6","V","","","Python inside Docker"
"TC-SM-1.2","V","","","Python inside Docker"
"TC-ACL-2.3","","","V","UI-Automated"
"TC-BIND-1.1","","","V","UI-Automated"
"TC-BINFO-1.1","","","V","UI-Automated"
"TC-CC-1.1","","","V","UI-Automated"
"TC-CC-4.1","","","V","UI-Automated"
"TC-CC-4.2","","","V","UI-Automated"
"TC-CC-4.3","","","V","UI-Automated"
"TC-CC-4.4","","","V","UI-Automated"
"TC-CC-5.1","","","V","UI-Automated"
"TC-CC-5.2","","","V","UI-Automated"
"TC-CC-5.3","","","V","UI-Automated"
"TC-CC-6.1","","","V","UI-Automated"
"TC-CC-6.2","","","V","UI-Automated"
"TC-CC-6.3","","","V","UI-Automated"
"TC-CC-7.1","","","V","UI-Automated"
"TC-CC-7.2","","","V","UI-Automated"
"TC-CC-7.3","","","V","UI-Automated"
"TC-CC-7.4","","","V","UI-Automated"
"TC-CC-9.1","","","V","UI-Automated"
"TC-CC-9.2","","","V","UI-Automated"
"TC-CC-9.3","","","V","UI-Automated"
"TC-CNET-1.3","","","V","UI-Automated"
"TC-CNET-4.5","","","V","UI-Automated"
"TC-DGGEN-1.1","","","V","UI-Automated"
"TC-DGGEN-2.3","","","V","UI-Automated"
"TC-DGGEN-3.1","","","V","UI-Automated"
"TC-DGWIFI-1.1","","","V","UI-Automated"
"TC-DGWIFI-2.1","","","V","UI-Automated"
"TC-DGWIFI-2.3","","","V","UI-Automated"
"TC-GRPKEY-1.1","","","V","UI-Automated"
"TC-GRPKEY-2.1","","","V","UI-Automated"
"TC-I-1.1","","","V","UI-Automated"
"TC-I-2.1","","","V","UI-Automated"
"TC-OO-1.1","","","V","UI-Automated"
"TC-OO-2.1","","","V","UI-Automated"
"TC-OO-2.3","","","V","UI-Automated"
"TC-S-1.1","","","V","UI-Automated"
"TC-S-2.1","","","V","UI-Automated"
"TC-SWTCH-1.1","","","V","UI-Automated"
"TC-SWTCH-2.1","","","V","UI-Automated"
"TC-ULABEL-1.1","","","V","UI-Automated"
"TC-ULABEL-2.1","","","V","UI-Automated"
"TC-ULABEL-2.2","","","V","UI-Automated"
"TC-ULABEL-2.3","","","V","UI-Automated"
"TC-ULABEL-2.4","","","V","UI-Automated"
"TC-CC-2.1","","V","","UI-Semi-automated"
"TC-ACL-2.4","","V","","UI-Semi-automated"
"TC-ACL-2.10","","V","","UI-Semi-automated"
"TC-ACL-2.5","","V","","UI-Semi-automated"
"TC-ACL-2.7","","V","","UI-Semi-automated"
"TC-ACL-2.8","","V","","UI-Semi-automated"
"TC-ACL-2.9","","V","","UI-Semi-automated"
"TC-GRPKEY-2.2","","V","","UI-Semi-automated"
"TC-I-2.2","","V","","UI-Semi-automated"
"TC-SC-5.2","","V","","UI-Semi-automated"
"TC-CADMIN-1.16","","V","","UI-Semi-automated"
"TC-CADMIN-1.21","","V","","UI-Semi-automated"
"TC-CADMIN-1.22","","V","","UI-Semi-automated"
"TC-CADMIN-1.23","","V","","UI-Semi-automated"
"TC-CADMIN-1.24","","V","","UI-Semi-automated"
"TC-CADMIN-1.5","","V","","UI-Semi-automated"
"TC-CADMIN-1.6","","V","","UI-Semi-automated"
"TC-BINFO-2.1","","V","","UI-Semi-automated"
"TC-BINFO-2.2","","V","","UI-Semi-automated"
"TC-SC-4.1","","V","","UI-Semi-automated"
"TC-LCFG-2.1","","V","","UI-Semi-automated"
"TC-CNET-4.1","","V","","UI-Semi-automated"
"TC-FLABEL-2.1","","V","","UI-Semi-automated"
"TC-TMP-2.2","","V","","UI-Semi-automated"
"TC-TSUIC-2.2","","V","","UI-Semi-automated"
"TC-LVL-6.1","","V","","UI-Semi-automated"
"TC-LVL-7.1","","V","","UI-Semi-automated"
"TC-PRS-2.2","","V","","UI-Semi-automated"
"TC-WNCV-4.5","","V","","UI-Semi-automated"
"TC-DGETH-2.1","","V","","UI-Semi-automated"
"TC-DGETH-2.2","","V","","UI-Semi-automated"
"TC-ILL-2.2","","V","","UI-Semi-automated"
"TC-MOD-3.2","","V","","UI-Semi-automated"
"TC-TCTL-2.3","","V","","UI-Semi-automated"
"TC-TCTL-3.3","","V","","UI-Semi-automated"
"TC-WASHERCTRL-2.1","","V","","UI-Semi-automated"
"TC-WASHERCTRL-2.2","","V","","UI-Semi-automated"
"TC-REFALM-2.1","","V","","UI-Semi-automated"
"TC-REFALM-2.3","","V","","UI-Semi-automated"
"TC-CNET-4.3","","V","","UI-Semi-automated"
"TC-SMOKECO-2.2","","V","","UI-Semi-automated"
"TC-SMOKECO-2.3","","V","","UI-Semi-automated"
"TC-SMOKECO-2.4","","V","","UI-Semi-automated"
"TC-SMOKECO-2.5","","V","","UI-Semi-automated"
"TC-SMOKECO-2.6","","V","","UI-Semi-automated"
"TC-DEMM-1.1","","V","","UI-Semi-automated"
"TC-DEMM-2.1","","V","","UI-Semi-automated"
"TC-OTCCM-2.1","","V","","UI-Semi-automated"
"TC-EEVSEM-1.1","","V","","UI-Semi-automated"
"TC-EEVSEM-2.1","","V","","UI-Semi-automated"
"TC-BRBINFO-2.1","","V","","UI-Semi-automated"
"TC-LTIME-3.1","","V","","UI-Semi-automated"
"TC-TSTAT-2.2","","V","","UI-Semi-automated"
"TC-DRLK-2.1","","V","","UI-Semi-automated"
"TC-TCTL-3.2","","V","","UI-Semi-automated"
"TC-DRYERCTRL-2.1","","V","","UI-Semi-automated"
"TC-CNET-4.2","","V","","UI-Semi-automated"
"TC-CNET-4.10","","V","","UI-Semi-automated"
"TC-CNET-4.16","","V","","UI-Semi-automated"
"TC-CNET-4.22","","V","","UI-Semi-automated"
